------------------------------------------------------------
 Current - Vg = 0 V
------------------------------------------------------------
Voltage (V), Current (A)
               0.475,        0.00043441068
             0.48125,       0.000439443913
              0.4875,       0.000444456283
             0.49375,        0.00044944769
                 0.5,       0.000454418004
             0.50625,       0.000459367145
              0.5125,       0.000464295013
             0.51875,       0.000469201527
               0.525,       0.000474086548
             0.53125,       0.000478950012
              0.5375,       0.000483791852
             0.54375,       0.000488611994
                0.55,       0.000493410597
             0.55625,       0.000498188051
              0.5625,       0.000502945729
             0.56875,       0.000507687643
               0.575,       0.000512424928
             0.58125,       0.000517069203
              0.5875,       0.000521734148
             0.59375,       0.000526376563
                 0.6,       0.000530996377
             0.60625,       0.000535593502
              0.6125,       0.000540168814
             0.61875,       0.000669750665
               0.625,        0.00054924759
             0.63125,        0.00055375331
              0.6375,       0.000558716365
            0.640625,       0.000560467552
             0.64375,       0.000562694125
            0.646875,       0.000564914866
                0.65,       0.000567129752
            0.653125,       0.000569338797
             0.65625,       0.000571541964
            0.659375,       0.000573739263
              0.6625,        0.00057593067
            0.665625,       0.000578116181
             0.66875,       0.000580295792
            0.671875,       0.000582469471
               0.675,       0.000584637219
            0.678125,       0.000586799044
             0.68125,       0.000588954896
            0.684375,       0.000591104781
              0.6875,       0.000593248713
            0.690625,       0.000595386647
             0.69375,       0.000597518591
                 0.7,       0.000601953557
            0.703125,       0.000603878343
             0.70625,       0.000605986199
            0.709375,       0.000608088007
              0.7125,       0.000610183762
            0.715625,       0.000612273442
             0.71875,       0.000614357042
            0.721875,        0.00061643455
               0.725,       0.000618505956
            0.728125,       0.000620571259
             0.73125,       0.000622630427
            0.734375,       0.000624683477
              0.7375,       0.000626730373
            0.740625,       0.000628771118
             0.74375,       0.000630805697
            0.746875,        0.00063283411
                0.75,       0.000634856324
            0.753125,       0.000636872361
             0.75625,       0.000638882172
            0.759375,       0.000640885776
              0.7625,       0.000642883151
            0.765625,       0.000644874286
             0.76875,       0.000646859177
            0.771875,       0.000648837808
               0.775,       0.000650810162
            0.778125,       0.000652776246
             0.78125,       0.000654736028
            0.784375,       0.000656689516
              0.7875,       0.000658636689
            0.790625,       0.000660577542
             0.79375,       0.000658774958
            0.796875,       0.000660253472
                 0.8,       0.000661655692
            0.803125,       0.000662971321
             0.80625,       0.000664188569
            0.809375,       0.000665293981
              0.8125,       0.000666272144
            0.815625,       0.000667105506
             0.81875,        0.00066777404
            0.821875,       0.000668254896
               0.825,       0.000668522119
            0.828125,       0.000668546103
             0.83125,       0.000668293238
            0.834375,       0.000667725305
              0.8375,       0.000666798932
